"metier.2010","dollars","pounds","percent.rev","percent.pounds"
"POT_1",644829706.108517,262647868,35.0024837132842,8.12274776202473
"NET_1",313911191.652067,1201321754,52.0421319632518,45.2752807830623
"TLS_2",166680070.967824,126842092,61.0898175988737,49.1980475154522
"TWL_1",120247798.040002,220403547,67.6170782889157,56.0143313549866
"TWS_1",115685826.160577,273878130,73.8967071702843,64.4843904666982
"HKL_1",81620487.6411858,28221136,78.3272099251467,65.3571680415986
"TLS_1",65605816.5255628,12674015,81.8884083356403,65.749129445135
"NET_2",63219887.7323247,727446731,85.3200943602509,88.2464234502873
"POT_2",56549434.9717078,4184517,88.3896965479943,88.3758354129875
"MSC_1",39840290.0455275,60310472,90.5522971388803,90.241019985758
